Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PW,Power REIT (MD) Common Stock,$37.57,-1.04,-2.694%,123963455.00,United States,,54417,Consumer Services,Real Estate Investment Trusts
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,$26.01,0.00,0.00%,,United States,,22,,
PZG,Paramount Gold Nevada Corp. Common Stock,$1.04,-0.08,-7.143%,37675608.00,United States,2015,435401,Basic Industries,Precious Metals
RCG,RENN Fund Inc Common Stock,$2.55,0.17,7.143%,15177488.00,United States,,155414,,
REI,Ring Energy Inc. Common Stock,$2.22,-0.23,-9.388%,181304292.00,United States,,6646412,Energy,Oil & Gas Production
RHE,Regional Health Properties Inc. Common Stock,$5.39,-0.42,-7.229%,9099500.00,,2017,120459,Consumer Services,Real Estate
RHE^A,Regional Health Properties Inc. 10.875% Series A Cumulative Redeemable Preferred Stock,$2.84,0.01,0.353%,,,,1022,,
RLGT,Radiant Logistics Inc. Common Stock,$6.77,0.00,0.00%,338280239.00,United States,,222009,Transportation,Oil Refining/Marketing
RMED,Ra Medical Systems Inc. Common Stock,$6.88,-0.71,-9.354%,22178175.00,,2018,254633,Health Care,Medical/Dental Instruments
RVP,Retractable Technologies Inc. Common Stock,$15.70,0.14,0.90%,530920683.00,United States,,413216,Health Care,Medical/Dental Instruments
SACC,Sachem Capital Corp. 6.875% Notes due 2024,$25.155,-0.074,-0.293%,0.00,United States,2019,2481,Consumer Services,Real Estate Investment Trusts
SACH,Sachem Capital Corp. Common Shares,$4.56,-0.07,-1.512%,100889093.00,United States,2017,117646,Consumer Services,Real Estate Investment Trusts
SCCB,Sachem Capital Corp. 7.125% Notes due 2024,$25.6101,-0.0199,-0.078%,0.00,United States,2019,100,Consumer Services,Real Estate Investment Trusts
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,$25.53,0.03,0.118%,0.00,United States,2020,2802,Consumer Services,Real Estate Investment Trusts
SDPI,Superior Drilling Products Inc. Common Stock,$0.9479,-0.0921,-8.856%,24282815.00,,2014,1024753,Energy,Metal Fabrications
SEB,Seaboard Corporation Common Stock,$3313.14,37.89,1.157%,3845823336.00,United States,1996,1409,Consumer Services,Farming/Seeds/Milling
SENS,Senseonics Holdings Inc. Common Stock,$3.42,-0.39,-10.236%,1273227634.00,United States,,45536778,Capital Goods,Industrial Machinery/Components
